,Support
WheelType_WheelType_unk,0.06580868374150381
WheelType_Covers,0.045728358505638875
Auction_MANHEIM,0.03873141574711286
WheelType_Alloy,0.03677302350513225
TopThreeAmericanName_GM,0.02771721742490731
TopThreeAmericanName_CHRYSLER,0.02732146106279787
VehicleAge,0.026544616554836926
Make_CHEVROLET,0.023637618340938554
VehBCost,0.02310604419656909
MMRAcquisitionAuctionAveragePrice,0.02206830377515949
VehOdo,0.0219092575813529
MMRCurrentAuctionCleanPrice,0.02098409535234093
Auction_OTHER,0.020531085767348408
MMRCurrentAuctionAveragePrice,0.020167359447420014
MMRCurrentRetailAveragePrice,0.02015744430601188
MMRCurrentRetailCleanPrice,0.020133036498219466
MMRAcquisitionAuctionCleanPrice,0.020086203160729968
Auction_ADESA,0.019849188070074332
Color_SILVER,0.019330893299998687
MMRAcquisitionRetailAveragePrice,0.019254749241068597
WarrantyCost,0.018853764697834847
MMRAcquisitonRetailCleanPrice,0.018730630506241824
TopThreeAmericanName_FORD,0.017303095546971858
Color_WHITE,0.016663448018008214
Size_MEDIUM,0.016350798380289463
Make_DODGE,0.016179573199829628
SubModel_4D SEDAN,0.01529057020283513
TopThreeAmericanName_OTHER,0.014504288546256423
Make_FORD,0.01437053340102004
Nationality_AMERICAN,0.01342742938962179
Color_BLUE,0.013088659673790116
Size_MEDIUM SUV,0.010218535543575238
Make_CHRYSLER,0.009782670016437097
Size_LARGE,0.009638389094436053
Color_BLACK,0.009191793826092332
Color_GREY,0.00884539739880669
Color_RED,0.008732285589196549
Nationality_OTHER ASIAN,0.00786339742679645
Size_COMPACT,0.006490934791708005
Size_VAN,0.006200326384018243
Color_GOLD,0.005975838712048381
SubModel_4D SEDAN SE,0.005609563646987856
Make_PONTIAC,0.005252101628889549
SubModel_4D SEDAN LS,0.004937746590589623
PRIMEUNIT_NO,0.004019970405728726
Nationality_TOP LINE ASIAN,0.004018263251621316
AUCGUART_AUCGUART_unk,0.003968521326297922
Color_GREEN,0.0036777860866462377
Model_PT CRUISER,0.003561827556881467
Transmission_AUTO,0.003163162892305219
Size_SMALL SUV,0.003159269337482942
AUCGUART_GREEN,0.0031165857750854015
PRIMEUNIT_PRIMEUNIT_unk,0.003112919484519836
Make_SATURN,0.0028428450201806125
Size_LARGE TRUCK,0.002839191532643426
Transmission_MANUAL,0.002703911179218148
Make_KIA,0.0026316063949031977
Color_MAROON,0.0024861453839217693
Make_NISSAN,0.0022526973347160796
Make_HYUNDAI,0.0021697683295151763
Make_JEEP,0.0020642189025955947
IsOnlineSale,0.001905139432061754
Model_TAURUS,0.001883326113692875
Color_BEIGE,0.0017635495997544524
Size_CROSSOVER,0.0015922352534631407
Make_MAZDA,0.0015532166293284965
Model_IMPALA,0.0015319965903137184
SubModel_4D WAGON,0.0014972999716050012
Model_TAURUS 3.0L V6 EFI,0.001496048544599855
SubModel_4D SUV 4.2L LS,0.0014254860316874143
Make_SUZUKI,0.0013925490317276737
Size_SPECIALTY,0.0013093737201160425
Make_MERCURY,0.0012658679872446154
SubModel_4D SEDAN LT,0.001260731599253039
Size_LARGE SUV,0.0012592687664015948
WheelType_Special,0.0012447836636065362
SubModel_2D COUPE,0.0011942694822077806
Model_CARAVAN GRAND FWD V6,0.001161624153427715
Model_SEBRING 4C,0.001134422168557882
Model_MALIBU 4C,0.001121228155123594
SubModel_4D SEDAN LX,0.0010785536725436992
SubModel_4D SEDAN SXT FFV,0.0009906770640478563
Model_CALIBER,0.0009776777115096105
Model_PT CRUISER 2.4L I4 S,0.000968685249196723
Size_SPORTS,0.0009646444065455559
SubModel_MINIVAN 3.3L,0.0009473927010018098
Model_1500 RAM PICKUP 2WD,0.0008879354117225311
Model_FOCUS,0.000881328738511647
SubModel_4D SEDAN SEL,0.0008514872097107108
Model_COBALT,0.0008281304749715624
Make_GMC,0.0008165137942169412
Make_TOYOTA,0.0008069766703389049
SubModel_4D SEDAN LEVEL 2,0.0007942762021005016
Model_GRAND PRIX,0.0007867390846707452
Make_MITSUBISHI,0.0007821229649191154
Size_SMALL TRUCK,0.000754984988792941
SubModel_4D SEDAN EX,0.0007477039042240443
Model_FORENZA,0.0007232534916996212
Model_STRATUS V6 2.7L V6 M,0.0006860369571830472
Make_BUICK,0.0006691541583619199
Model_GRAND PRIX 3.8L V6 S,0.0006292443951735976
Model_TOWN & COUNTRY FWD V,0.0006215525091708903
SubModel_4D SUV LS,0.0006172762586417038
Model_NEON,0.0006118064907325589
Model_ION,0.0006114583804724249
Model_STRATUS 4C,0.0005969044701435208
SubModel_4D WAGON LAREDO,0.0005656601677372049
SubModel_4D SEDAN LT 3.5L,0.0005497182169834661
SubModel_4D SEDAN TOURING,0.0005481410136586886
Model_MALIBU V6,0.0005459092438589063
SubModel_4D SEDAN LIMITED,0.0005424888506458573
SubModel_4D SEDAN CLASSIC,0.0005368960773289229
SubModel_4D SEDAN GT,0.0005352917518850135
SubModel_4D SEDAN ZX4,0.0005280669696289086
SubModel_4D SUV 4.7L,0.0005235596570091754
Model_AVEO,0.0005229820503740253
Model_IMPALA V6,0.0005056579425468238
